danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,song_name,title
0.598,0.98,-3.574,0.185,0.0018,0.316,0.508,0.039,0.6808,0.1936,14,Null,Euphoric Hardstyle
0.8,0.663,-3.832,0.0324,0.048,0.0,0.252,0.472,0.8347,0.2497,5,Breathe (feat. Sean Paul) - Rap Version,Null
0.742,0.933,-5.903,0.0436,0.0024,0.433,0.295,0.262,0.5629,0.2396,8,Null,Tech House 2020
0.754,0.575,-8.393,0.0682,0.045,0.0013,0.276,0.491,0.7809,0.2247,0,Mob Ties,Null
0.804,0.958,-3.419,0.0562,0.0004,0.884,0.333,0.713,0.5674,0.3892,8,Null,Tech House Club
0.578,0.705,-5.918,0.284,0.552,0.0004,0.0822,0.333,0.6176,0.2239,0,Heavensent,Null
0.204,0.935,-12.046,0.0592,0.0005,0.862,0.35,0.193,0.6264,0.1215,10,Null,State if Trance (The best ASOT Epsidoes)
0.591,0.881,-3.956,0.0463,0.0186,0.662,0.244,0.0363,0.7942,0.366,13,Null,Liqduicity Drum & Bass
0.689,0.775,-4.396,0.0807,0.0727,0.0,0.091,0.382,0.5447,0.2672,7,Millions,Null
0.445,0.882,-3.978,0.0304,0.0027,0.0003,0.189,0.813,0.7946,0.3726,13,Null,Massive Drum & Bass
0.778,0.547,-7.273,0.0489,0.346,0.0003,0.132,0.441,0.8625,0.2658,6,Just Give Me a Reason (feat. Nate Ruess),Null
0.637,0.935,-2.467,0.107,0.0086,0.004,0.214,0.468,0.6813,0.2269,12,Null,I'm a fucking Headbanger
0.81,0.673,-7.142,0.297,0.318,0.0,0.313,0.448,0.5627,0.2235,1,I Guess I'll Smoke (feat. Dizzy Wright & Layzie Bone),Null
0.609,0.989,0.095,0.469,0.057,0.0001,0.89,0.632,0.6531,0.2419,12,Null,Riddim Dubstep
0.572,0.795,-5.762,0.461,0.46,0.0,0.304,0.729,0.7225,0.1752,3,Dagboek,Null
0.826,0.842,-7.008,0.0638,0.017,0.0185,0.115,0.378,0.5721,0.2295,8,Null,Dirtybird//Techhouse by Mack\
0.772,0.943,-6.964,0.0516,0.0196,0.521,0.0929,0.278,0.572,0.4253,9,Null,|DARK|HARD|TECHNO
0.643,0.344,-11.342,0.0349,0.909,0.0112,0.106,0.547,0.6545,0.2748,7,Everlong - Acoustic Version,Null
0.637,0.835,-7.171,0.0357,0.0576,0.48,0.186,0.205,0.5628,0.2194,8,Null,Tech House Music 2020
0.761,0.734,-8.549,0.0534,0.0022,0.863,0.338,0.196,0.581,0.5524,9,Null,Dark Techno
0.724,0.985,-1.79,0.24,0.215,0.0,0.116,0.6,0.7079,0.1904,1,Bladed Choppa,Null
0.759,0.967,-6.037,0.0502,0.0001,0.857,0.249,0.471,0.6583,0.3771,11,Null,PsytranceL Full on Progressive (&Goa)
0.795,0.797,-5.96,0.0634,0.0044,0.302,0.129,0.627,0.5672,0.2077,8,Null,Dirtybird House
0.673,0.76,-5.78,0.227,0.0538,0.0,0.71,0.698,0.6952,0.2378,1,Stomp,Null
0.21,0.991,-3.1,0.413,0.0019,0.0771,0.148,0.179,0.6802,0.2434,14,Null,Q-Dance | Hardstyle | Top 100 | 2019
0.706,0.925,-4.511,0.0599,0.0002,0.567,0.0651,0.191,0.572,0.4089,10,Null,Vocal Melodic Trance Top 1000
0.447,0.803,-4.897,0.0569,0.0036,0.491,0.0666,0.203,0.7942,0.3347,13,Null,Liquid Drum and Bass
0.468,0.832,-4.333,0.128,0.0231,0.003,0.26,0.357,0.526,0.2991,0,Nexus (Yume Collective),Null
0.748,0.992,-8.828,0.0767,0.004,0.917,0.128,0.398,0.6037,0.4111,9,Null,Acid Techno: Hard Techno on Acid
0.347,0.926,-2.196,0.0536,0.0158,0.0,0.347,0.163,0.7034,0.2171,14,Null,Greatest Hardstyle Playlist
0.781,0.682,-5.978,0.335,0.496,0.0,0.794,0.842,0.5909,0.1531,1,Sideshow,Null
0.626,0.909,-2.299,0.234,0.0168,0.0133,0.17,0.518,0.6811,0.2112,12,Null,I'm a fucking Headbanger
0.442,0.889,-5.859,0.0377,0.008,0.0004,0.804,0.152,0.6261,0.2555,10,Null,Top Trance Songs EVER
0.527,0.793,-8.796,0.0362,0.002,0.832,0.112,0.208,0.5992,0.5854,9,Null,Dark Techno Rave
0.545,0.423,-11.062,0.394,0.0022,0.0,0.218,0.33,0.6842,0.1544,7,BEN CARSON,Null
